GameDate,OffenseTeam,Dome
10/11/13,BAL,
10/11/13,PIT,
10/11/13,NO,1
1/12/13,CAR,
1/12/13,CLE,
1/12/13,NYJ,
1/12/13,WAS,
1/12/13,MIN,
1/12/13,KC,
1/12/13,SD,
1/12/13,IND,1
1/12/13,SF,
1/12/13,BUF,
1/12/13,HOU,1
1/12/13,PHI,
2/12/13,SEA,
5/12/13,JAC,
8/12/13,SD,
8/12/13,PIT,
8/12/13,SF,
8/12/13,BAL,
8/12/13,CIN,
8/12/13,PHI,
8/12/13,WAS,
8/12/13,NE,
8/12/13,DEN,
8/12/13,TB,
8/12/13,NO,1
8/12/13,NYJ,
8/12/13,ARI,1
8/12/13,GB,
9/12/13,CHI,
4/1/14,IND,1
4/1/14,PHI,
5/1/14,CIN,
5/1/14,GB,
11/1/14,SEA,
11/1/14,NE,
12/1/14,DEN,
12/1/14,CAR,
19/1/14,DEN,
19/1/14,SEA,
2/2/14,SB14,
4/9/14,SEA,
7/9/14,ATL,1
7/9/14,HOU,1
7/9/14,TB,
7/9/14,CHI,
7/9/14,DAL,1
7/9/14,DEN,
7/9/14,PIT,
7/9/14,BAL,
7/9/14,PHI,
7/9/14,KC,
7/9/14,MIA,
7/9/14,STL,1
7/9/14,NYJ,
8/9/14,DET,1
8/9/14,ARI,1
11/9/14,BAL,
2/10/14,GB,
5/10/14,TEN,
5/10/14,DEN,
5/10/14,NE,
5/10/14,JAC,
5/10/14,DET,1
5/10/14,SF,
5/10/14,CAR,
5/10/14,PHI,
5/10/14,DAL,1
5/10/14,IND,1
5/10/14,NYG,
5/10/14,NO,1
5/10/14,SD,
6/10/14,WAS,
9/10/14,HOU,1
12/10/14,OAK,
12/10/14,NYJ,
12/10/14,ARI,1
12/10/14,CLE,
12/10/14,CIN,
12/10/14,SEA,
12/10/14,TB,
12/10/14,TEN,
12/10/14,PHI,
12/10/14,ATL,1
12/10/14,MIA,
12/10/14,MIN,
12/10/14,BUF,
2/11/14,KC,
2/11/14,SEA,
2/11/14,DAL,1
2/11/14,NE,
2/11/14,CIN,
2/11/14,CLE,
2/11/14,MIA,
2/11/14,SF,
2/11/14,MIN,
2/11/14,PIT,
2/11/14,HOU,1
3/11/14,NYG,
6/11/14,CIN,
9/11/14,OAK,
9/11/14,BUF,
9/11/14,NO,1
9/11/14,DET,1
9/11/14,GB,
9/11/14,BAL,
9/11/14,SEA,
9/11/14,TB,
9/11/14,ARI,1
9/11/14,NYJ,
9/11/14,JAC,
10/11/14,PHI,
1/12/14,NYJ,
4/12/14,CHI,
7/12/14,MIN,
7/12/14,DEN,
7/12/14,WAS,
7/12/14,SD,
7/12/14,DET,1
7/12/14,ARI,1
7/12/14,PHI,
7/12/14,CIN,
7/12/14,CLE,
7/12/14,OAK,
7/12/14,NO,1
7/12/14,JAC,
7/12/14,TEN,
7/12/14,MIA,
8/12/14,GB,
11/12/14,STL,1
3/1/15,PIT,
3/1/15,CAR,
4/1/15,DAL,1
4/1/15,IND,1
10/1/15,NE,
10/1/15,SEA,
11/1/15,DEN,
11/1/15,GB,
18/1/15,SEA,
18/1/15,NE,
1/2/15,SB15,
10/9/15,NE,
1/10/15,PIT,
4/10/15,IND,1
4/10/15,CIN,
4/10/15,SD,
4/10/15,DEN,
4/10/15,BUF,
4/10/15,ATL,1
4/10/15,MIA,
4/10/15,CHI,
4/10/15,NO,1
4/10/15,TB,
4/10/15,SF,
4/10/15,ARI,1
4/10/15,WAS,
5/10/15,SEA,
8/10/15,HOU,1
11/10/15,BAL,
11/10/15,TEN,
11/10/15,CIN,
11/10/15,KC,
11/10/15,NYG,
11/10/15,PHI,
11/10/15,OAK,
11/10/15,DET,1
11/10/15,ATL,1
11/10/15,DAL,1
11/10/15,TB,
11/10/15,GB,
12/10/15,SD,
1/11/15,CHI,
1/11/15,DAL,1
1/11/15,STL,1
1/11/15,OAK,
1/11/15,PIT,
1/11/15,DEN,
1/11/15,HOU,1
1/11/15,KC,
1/11/15,CLE,
1/11/15,BAL,
1/11/15,ATL,1
1/11/15,NO,1
2/11/15,CAR,
5/11/15,CIN,
8/11/15,DAL,1
8/11/15,BUF,
8/11/15,MIN,
