GameDate,location,team,city,state,OffenseTeam,year,month,day,snow,rain
28/9/14,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2014,9,28,0,0
28/9/14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2014,9,28,0,0
28/9/14,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2014,9,28,0,0
28/9/14,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2014,9,28,0,0
29/9/14,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2014,9,29,0,0
13/10/14,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2014,10,13,0,1
16/10/14,New England Patriots,New England Patriots,Foxboro,MA,NE,2014,10,16,0,1
19/10/14,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2014,10,19,0,0
19/10/14,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2014,10,19,0,0
19/10/14,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2014,10,19,0,0
19/10/14,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2014,10,19,0,0
19/10/14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2014,10,19,0,0
19/10/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014,10,19,0,0
19/10/14,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2014,10,19,0,0
19/10/14,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2014,10,19,0,0
19/10/14,Washington Redskins,Washington Redskins,Landover,MD,WAS,2014,10,19,0,0
19/10/14,Detroit Lions,Detroit Lions,Detroit,MI,DET,2014,10,19,0,0
19/10/14,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2014,10,19,0,1
19/10/14,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2014,10,19,0,0
19/10/14,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2014,10,19,0,0
20/10/14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2014,10,20,0,1
23/10/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014,10,23,0,0
26/10/14,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2014,10,26,0,1
26/10/14,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2014,10,26,0,0
26/10/14,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2014,10,26,0,0
26/10/14,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2014,10,26,0,0
26/10/14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2014,10,26,0,0
26/10/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2014,10,26,0,0
26/10/14,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2014,10,26,0,1
26/10/14,New England Patriots,New England Patriots,Foxboro,MA,NE,2014,10,26,0,0
26/10/14,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2014,10,26,0,0
26/10/14,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2014,10,26,0,0
26/10/14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2014,10,26,0,0
26/10/14,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2014,10,26,0,0
26/10/14,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2014,10,26,0,0
27/10/14,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2014,10,27,0,0
30/10/14,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2014,10,30,0,0
13/11/14,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2014,11,13,0,0
16/11/14,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2014,11,16,0,0
16/11/14,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2014,11,16,1,0
16/11/14,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2014,11,16,0,0
16/11/14,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2014,11,16,0,1
16/11/14,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2014,11,16,1,0
16/11/14,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2014,11,16,1,0
16/11/14,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2014,11,16,1,0
16/11/14,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2014,11,16,1,0
16/11/14,Washington Redskins,Washington Redskins,Landover,MD,WAS,2014,11,16,0,0
16/11/14,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2014,11,16,0,0
16/11/14,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2014,11,16,0,0
16/11/14,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2014,11,16,1,0
17/11/14,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2014,11,17,1,1
20/11/14,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2014,11,20,0,1
23/11/14,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2014,11,23,0,1
23/11/14,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2014,11,23,0,1
23/11/14,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2014,11,23,0,1
23/11/14,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2014,11,23,0,0
23/11/14,New England Patriots,New England Patriots,Foxboro,MA,NE,2014,11,23,0,0
23/11/14,Denver Broncos,Denver Broncos,Denver,CO,DEN,2014,11,23,1,1
23/11/14,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2014,11,23,0,0
23/11/14,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2014,11,23,0,0
