dates,location,team,city,state,offense,year
1/11/15,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015
1/11/15,Denver Broncos,Denver Broncos,Denver,CO,DEN,2015
1/11/15,Houston Texans,Houston Texans,Houston,TX,HOU,2015
1/11/15,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2015
1/11/15,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2015
1/11/15,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2015
1/11/15,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2015
1/11/15,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015
2/11/15,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2015
5/11/15,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2015
8/11/15,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015
8/11/15,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2015
8/11/15,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2015
8/11/15,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2015
8/11/15,New England Patriots,New England Patriots,Foxboro,MA,NE,2015
8/11/15,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2015
8/11/15,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015
8/11/15,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2015
8/11/15,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2015
8/11/15,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015
8/11/15,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015
9/11/15,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015
12/11/15,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2015
3/12/15,Detroit Lions,Detroit Lions,Detroit,MI,DET,2015
6/12/15,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015
6/12/15,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2015
6/12/15,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015
6/12/15,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2015
6/12/15,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2015
6/12/15,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2015
6/12/15,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2015
6/12/15,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2015
6/12/15,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2015
6/12/15,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015
6/12/15,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015
6/12/15,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2015
6/12/15,New England Patriots,New England Patriots,Foxboro,MA,NE,2015
6/12/15,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2015
7/12/15,Washington Redskins,Washington Redskins,Landover,MD,WAS,2015
10/12/15,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2015
3/1/16,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2016
3/1/16,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2016
3/1/16,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2016
3/1/16,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2016
3/1/16,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2016
3/1/16,Denver Broncos,Denver Broncos,Denver,CO,DEN,2016
3/1/16,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2016
3/1/16,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2016
3/1/16,Houston Texans,Houston Texans,Houston,TX,HOU,2016
3/1/16,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2016
3/1/16,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2016
3/1/16,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2016
3/1/16,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2016
3/1/16,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2016
3/1/16,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2016
3/1/16,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2016
9/1/16,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2016
9/1/16,Houston Texans,Houston Texans,Houston,TX,HOU,2016
10/1/16,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2016
10/1/16,Washington Redskins,Washington Redskins,Landover,MD,WAS,2016
7/2/16,Superbowl 2016,Denver Broncos,Santa_Clara,CA,SB16,2016
