dates,location,team
15/12/13,Tennessee Titans,Tennessee Titans
15/12/13,Pittsburgh Steelers,Pittsburgh Steelers
15/12/13,Minnesota Vikings,Minnesota Vikings
16/12/13,Detroit Lions,Detroit Lions
22/12/13,Jacksonville Jaguars,Jacksonville Jaguars
22/12/13,Green Bay Packers,Green Bay Packers
22/12/13,Kansas City Chiefs,Kansas City Chiefs
22/12/13,New York Jets,New York Jets
22/12/13,Houston Texans,Houston Texans
22/12/13,Washington Redskins,Washington Redskins
22/12/13,Carolina Panthers,Carolina Panthers
22/12/13,Buffalo Bills,Buffalo Bills
22/12/13,Detroit Lions,Detroit Lions
22/12/13,Seattle Seahawks,Seattle Seahawks
22/12/13,St. Louis Rams,St. Louis Rams
22/12/13,Baltimore Ravens,Baltimore Ravens
22/12/13,Cincinnati Bengals,Cincinnati Bengals
22/12/13,Philadelphia Eagles,Philadelphia Eagles
22/12/13,San Diego Chargers,San Diego Chargers
23/12/13,San Francisco 49ers,San Francisco 49ers
29/12/13,Miami Dolphins,Miami Dolphins
29/12/13,Indianapolis Colts,Indianapolis Colts
29/12/13,Atlanta Falcons,Atlanta Falcons
29/12/13,Arizona Cardinals,Arizona Cardinals
29/12/13,Seattle Seahawks,Seattle Seahawks
29/12/13,Tennessee Titans,Tennessee Titans
29/12/13,Oakland Raiders,Oakland Raiders
29/12/13,Minnesota Vikings,Minnesota Vikings
29/12/13,Cincinnati Bengals,Cincinnati Bengals
29/12/13,New York Giants,New York Giants
29/12/13,San Diego Chargers,San Diego Chargers
29/12/13,Chicago Bears,Chicago Bears
29/12/13,Dallas Cowboys,Dallas Cowboys
29/12/13,New Orleans Saints,New Orleans Saints
29/12/13,Pittsburgh Steelers,Pittsburgh Steelers
29/12/13,New England Patriots,New England Patriots
4/1/14,Indianapolis Colts,Indianapolis Colts
4/1/14,Philadelphia Eagles,Philadelphia Eagles
5/1/14,Cincinnati Bengals,Cincinnati Bengals
5/1/14,Green Bay Packers,Green Bay Packers
11/1/14,Seattle Seahawks,Seattle Seahawks
11/1/14,New England Patriots,New England Patriots
12/1/14,Denver Broncos,Denver Broncos
12/1/14,Carolina Panthers,Carolina Panthers
19/1/14,Denver Broncos,Denver Broncos
19/1/14,Seattle Seahawks,Seattle Seahawks
2/2/14,Superbowl 2014,Seattle Seahawks
4/9/14,Seattle Seahawks,Seattle Seahawks
7/9/14,Atlanta Falcons,Atlanta Falcons
7/9/14,Houston Texans,Houston Texans
7/9/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers
7/9/14,Chicago Bears,Chicago Bears
7/9/14,Dallas Cowboys,Dallas Cowboys
7/9/14,Denver Broncos,Denver Broncos
7/9/14,Pittsburgh Steelers,Pittsburgh Steelers
7/9/14,Baltimore Ravens,Baltimore Ravens
7/9/14,Philadelphia Eagles,Philadelphia Eagles
7/9/14,Kansas City Chiefs,Kansas City Chiefs
7/9/14,Miami Dolphins,Miami Dolphins
7/9/14,St. Louis Rams,St. Louis Rams
7/9/14,New York Jets,New York Jets
8/9/14,Detroit Lions,Detroit Lions
8/9/14,Arizona Cardinals,Arizona Cardinals
11/9/14,Baltimore Ravens,Baltimore Ravens
14/9/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers
